"Дата","Цена","Откр.","Макс.","Мин.","Объём","Изм. %"
"05.01.2018","69,17","69,00","69,59","68,25","1,02M","0,04"
"04.01.2018","69,14","70,00","70,20","66,20","3,03M","-0,95"
"03.01.2018","69,80","70,87","71,59","69,02","1,92M","-0,89"
"02.01.2018","70,43","67,84","70,50","67,84","1,75M","4,31"
"29.12.2017","67,52","68,50","68,67","67,47","1,50M","-1,21"
"28.12.2017","68,35","69,07","69,98","67,91","946,23K","-0,71"
"27.12.2017","68,84","67,55","69,02","66,61","1,15M","1,18"
"26.12.2017","68,04","68,47","68,79","67,32","971,75K","-1,18"
"22.12.2017","68,85","69,00","69,50","68,49","775,90K","-0,38"
"21.12.2017","69,11","68,50","69,45","68,37","852,16K","0,61"
"20.12.2017","68,69","69,41","69,74","67,90","893,82K","-0,67"
"19.12.2017","69,15","70,38","70,92","68,72","1,41M","-2,10"
"18.12.2017","70,63","69,93","70,78","69,65","1,30M","2,42"
"15.12.2017","68,96","67,87","69,75","67,27","2,92M","1,58"
"14.12.2017","67,89","68,47","68,80","67,43","1,53M","-0,86"
"13.12.2017","68,48","69,20","69,93","68,35","1,85M","-0,62"
"12.12.2017","68,91","70,02","71,19","68,68","2,52M","-1,63"
"11.12.2017","70,05","71,40","71,80","69,15","3,81M","0,04"
"08.12.2017","70,02","68,96","70,27","68,27","3,63M","2,32"
"07.12.2017","68,43","64,00","68,70","63,54","4,91M","8,21"
"06.12.2017","63,24","62,08","65,43","62,05","4,67M","3,32"
"05.12.2017","61,21","57,14","62,03","56,81","5,43M","6,88"
"04.12.2017","57,27","60,40","60,71","56,13","4,21M","-5,02"
"01.12.2017","60,30","61,68","61,90","59,25","1,78M","-2,90"
"30.11.2017","62,10","60,68","62,24","59,30","1,62M","3,47"
"29.11.2017","60,02","62,06","62,43","58,77","1,87M","-3,40"
"28.11.2017","62,13","62,00","62,60","61,50","1,37M","0,78"
"27.11.2017","61,65","60,83","63,10","60,28","2,04M","1,72"
"24.11.2017","60,61","60,83","60,96","60,17","466,78K","0,17"
"22.11.2017","60,51","60,11","60,84","59,54","1,68M","0,45"
"21.11.2017","60,24","61,38","61,49","59,95","1,07M","-1,34"
"20.11.2017","61,06","60,44","61,15","59,67","1,34M","1,46"
"17.11.2017","60,18","60,76","60,80","59,53","1,31M","-0,28"
"16.11.2017","60,35","60,96","61,56","60,20","1,31M","-0,41"
"15.11.2017","60,60","60,75","61,59","60,33","1,36M","-1,11"
"14.11.2017","61,28","61,48","62,22","60,56","1,15M","-0,47"
"13.11.2017","61,57","60,97","62,05","60,86","1,20M","-0,03"
"10.11.2017","61,59","60,30","62,56","60,16","1,95M","1,73"
"09.11.2017","60,54","61,16","61,75","60,16","1,66M","-2,02"
"08.11.2017","61,79","60,75","62,24","60,08","2,29M","1,36"
"07.11.2017","60,96","61,60","62,19","60,62","2,29M","-0,83"
"06.11.2017","61,47","59,72","62,57","59,72","3,87M","2,67"
"03.11.2017","59,87","57,82","60,29","57,53","3,13M","3,46"
"02.11.2017","57,87","57,58","58,53","56,71","2,73M","1,15"
"01.11.2017","57,21","55,36","57,87","54,71","5,26M","4,36"
"31.10.2017","54,82","60,43","61,05","53,09","9,75M","-9,28"
"30.10.2017","60,43","57,33","61,47","56,55","7,77M","4,79"
"27.10.2017","57,67","52,10","58,97","51,71","15,84M","20,35"
"26.10.2017","47,92","47,38","48,08","46,88","2,10M","1,12"
"25.10.2017","47,39","48,92","48,92","46,78","1,96M","-2,51"
"24.10.2017","48,61","49,10","49,69","48,52","1,20M","-0,63"
"23.10.2017","48,92","47,89","49,22","47,86","2,05M","2,49"
"20.10.2017","47,73","47,62","47,81","47,25","1,40M","0,19"
"19.10.2017","47,64","46,51","47,66","46,16","1,27M","1,49"
"18.10.2017","46,94","47,52","48,34","46,86","1,23M","-0,64"
"17.10.2017","47,24","47,21","47,48","46,09","1,50M","-0,15"
"16.10.2017","47,31","47,67","48,08","47,15","976,17K","-0,61"
"13.10.2017","47,60","47,21","48,16","47,05","942,95K","1,04"
"12.10.2017","47,11","46,95","47,60","46,80","951,28K","-0,19"
"11.10.2017","47,20","47,48","47,66","46,76","1,07M","-0,99"
"10.10.2017","47,67","47,17","47,67","46,78","1,11M","1,62"
"09.10.2017","46,91","48,19","48,45","46,73","1,42M","-2,70"
"06.10.2017","48,21","47,85","48,37","47,76","1,11M","0,58"
"05.10.2017","47,93","47,80","48,87","47,75","1,49M","0,59"
"04.10.2017","47,65","46,86","48,14","46,80","1,40M","0,89"
"03.10.2017","47,23","47,00","47,46","46,54","1,34M","0,11"
"02.10.2017","47,18","46,30","47,24","45,27","2,17M","2,83"
"29.09.2017","45,88","46,00","46,62","45,75","1,59M","-0,56"
"28.09.2017","46,14","46,91","47,21","45,26","2,35M","-1,93"
"27.09.2017","47,05","46,31","47,22","45,85","2,84M","1,91"
"26.09.2017","46,17","47,12","47,92","45,63","3,85M","-1,51"
"25.09.2017","46,88","51,21","51,65","46,61","5,59M","-8,81"
"22.09.2017","51,41","49,01","53,00","47,50","8,98M","5,43"
"21.09.2017","48,76","48,86","48,95","46,92","3,04M","-0,18"
"20.09.2017","48,85","48,95","49,25","46,84","4,32M","-0,02"
"19.09.2017","48,86","49,06","49,58","47,82","2,25M","0,66"
"18.09.2017","48,54","50,85","50,95","48,46","2,76M","-3,79"
"15.09.2017","50,45","50,01","51,84","49,38","5,40M","4,17"
"14.09.2017","48,43","46,75","48,63","46,60","1,77M","3,42"
"13.09.2017","46,83","47,45","47,61","46,57","1,11M","-1,37"
"12.09.2017","47,48","47,21","47,84","46,61","1,27M","0,68"
"11.09.2017","47,16","47,22","47,73","47,06","1,06M","0,53"
"08.09.2017","46,91","47,35","48,15","46,52","1,34M","-1,14"
"07.09.2017","47,45","47,57","47,69","47,05","850,05K","0,21"
"06.09.2017","47,35","48,03","48,23","47,35","890,32K","-1,07"
"05.09.2017","47,86","47,68","48,28","47,18","1,20M","0,04"
"01.09.2017","47,84","47,01","48,20","47,01","1,21M","1,87"
"31.08.2017","46,96","48,24","48,25","46,62","1,67M","-2,35"
"30.08.2017","48,09","48,48","48,96","48,06","1,71M","-0,64"
"29.08.2017","48,40","47,31","48,54","46,91","1,56M","0,79"
"28.08.2017","48,02","47,51","48,26","47,21","1,22M","1,27"
"25.08.2017","47,42","47,37","47,73","47,22","816,20K","0,47"
"24.08.2017","47,20","46,61","47,44","46,41","1,29M","1,55"
"23.08.2017","46,48","46,10","46,87","45,89","1,03M","-0,24"
"22.08.2017","46,59","46,28","47,07","46,07","1,70M","1,37"
"21.08.2017","45,96","48,16","48,43","45,76","2,38M","-4,37"
"18.08.2017","48,06","47,80","48,72","47,26","983,26K","0,61"
"17.08.2017","47,77","48,85","49,58","47,69","1,17M","-2,65"
"16.08.2017","49,07","49,82","50,12","48,92","1,84M","-0,04"
"15.08.2017","49,09","48,98","49,65","48,38","1,29M","0,45"
"14.08.2017","48,87","47,55","49,04","47,13","1,56M","2,80"
"11.08.2017","47,54","46,57","47,80","46,53","1,01M","1,69"
"10.08.2017","46,75","47,24","47,38","46,45","1,30M","-1,43"
"09.08.2017","47,43","47,50","47,89","47,03","1,15M","-0,86"
"08.08.2017","47,84","48,66","48,96","47,56","1,51M","-1,50"
"07.08.2017","48,57","48,11","49,00","48,03","1,43M","1,23"
"04.08.2017","47,98","47,36","48,38","47,32","1,41M","1,44"
"03.08.2017","47,30","48,89","48,89","47,07","2,19M","-2,73"
"02.08.2017","48,63","49,10","49,10","47,31","2,79M","-2,05"
"01.08.2017","49,65","49,85","50,21","49,17","2,43M","0,69"
"31.07.2017","49,31","48,91","49,58","47,95","3,83M","0,90"
"28.07.2017","48,87","48,82","49,75","47,44","9,31M","9,06"
"27.07.2017","44,81","46,00","46,25","44,19","4,29M","-1,39"
"26.07.2017","45,44","45,95","45,95","45,37","1,69M","-0,04"
"25.07.2017","45,46","45,61","45,83","45,03","2,09M","1,07"
"24.07.2017","44,98","45,21","45,39","44,61","1,81M","-0,38"
"21.07.2017","45,15","46,03","46,28","45,04","2,19M","-2,42"
"20.07.2017","46,27","45,85","46,64","44,92","3,23M","1,31"
"19.07.2017","45,67","45,04","46,75","45,00","4,85M","3,75"
"18.07.2017","44,02","42,80","44,66","42,54","2,87M","3,04"
"17.07.2017","42,72","43,00","43,00","42,42","2,74M","-0,51"
"14.07.2017","42,94","41,62","43,40","41,60","2,93M","3,40"
"13.07.2017","41,53","41,90","41,90","40,77","2,05M","-0,62"
"12.07.2017","41,79","40,20","41,95","40,18","3,30M","4,97"
"11.07.2017","39,81","39,60","39,85","39,24","1,23M","0,68"
"10.07.2017","39,54","39,37","39,76","39,11","1,07M","0,36"
"07.07.2017","39,40","38,78","39,56","38,71","1,14M","1,89"
"06.07.2017","38,67","38,88","39,39","38,36","1,48M","-0,95"
"05.07.2017","39,04","40,29","40,47","39,02","1,57M","-2,57"
"03.07.2017","40,07","39,92","40,87","39,81","1,05M","0,48"
"30.06.2017","39,88","40,06","40,37","39,72","1,30M","-0,50"
"29.06.2017","40,08","40,37","40,66","39,20","2,02M","-1,01"
"28.06.2017","40,49","40,31","41,17","39,78","2,44M","1,10"
"27.06.2017","40,05","39,88","40,43","39,21","2,23M","-0,30"
"26.06.2017","40,17","39,80","40,94","39,60","2,76M","1,08"
"23.06.2017","39,74","38,36","40,55","37,93","4,80M","3,44"
"22.06.2017","38,42","37,94","39,72","37,22","4,16M","3,20"
"21.06.2017","37,23","35,55","37,52","35,35","2,37M","5,02"
"20.06.2017","35,45","36,30","36,59","35,38","1,60M","-2,48"
"19.06.2017","36,35","36,03","36,42","35,56","1,77M","1,45"
"16.06.2017","35,83","35,73","36,04","35,33","1,97M","0,28"
"15.06.2017","35,73","35,50","36,18","35,35","1,48M","-1,27"
"14.06.2017","36,19","36,45","36,50","35,75","1,70M","-0,74"
"13.06.2017","36,46","36,65","37,01","36,25","2,09M","0,16"
"12.06.2017","36,40","36,27","37,46","36,11","2,20M","-0,68"
"09.06.2017","36,65","37,80","37,97","36,37","2,20M","-3,04"
"08.06.2017","37,80","37,12","37,97","36,85","2,27M","2,33"
"07.06.2017","36,94","37,70","37,85","36,63","2,20M","-1,34"
"06.06.2017","37,44","37,47","37,86","36,97","2,59M","-0,61"
"05.06.2017","37,67","38,15","38,23","37,27","1,62M","-1,72"
"02.06.2017","38,33","38,36","38,78","37,86","1,57M","0,03"
"01.06.2017","38,32","38,61","39,36","38,01","3,67M","-0,49"
"31.05.2017","38,51","39,13","39,45","37,76","2,92M","-2,51"
"30.05.2017","39,50","37,70","39,92","37,40","5,73M","7,22"
"26.05.2017","36,84","37,83","37,93","36,79","3,97M","-2,90"
"25.05.2017","37,94","38,90","39,10","37,67","3,47M","-2,47"
"24.05.2017","38,90","37,00","39,28","36,73","5,20M","6,66"
"23.05.2017","36,47","36,55","37,40","36,34","2,66M","0,11"
"22.05.2017","36,43","36,07","36,67","35,86","2,45M","0,25"
"19.05.2017","36,34","35,19","36,68","35,12","3,22M","3,95"
"18.05.2017","34,96","34,58","35,38","33,27","6,44M","-0,06"
"17.05.2017","34,98","36,06","36,49","34,95","3,24M","-4,89"
"16.05.2017","36,78","37,26","37,30","36,57","1,79M","-1,16"
"15.05.2017","37,21","36,55","37,67","36,34","2,57M","2,28"
"12.05.2017","36,38","36,59","36,60","35,75","2,05M","-0,66"
"11.05.2017","36,62","36,43","37,09","36,07","2,20M","0,14"
"10.05.2017","36,57","35,63","36,86","35,51","3,64M","2,21"
"09.05.2017","35,78","35,17","36,21","34,44","3,10M","1,79"
